공고명,공고시작일,공고종료일,공고등록일
화성동탄(2) 주거전용 단독주택 용지 공급 공고,2018-10-18,2018-12-31,2018-10-18
다산신도시(지금) 종교용지 사전 공급안내,2019-04-05,2019-04-30,2019-04-05
다산신도시(진건 및 지금지구) 점포겸용 단독주택용지 사전 공급안내,2019-04-02,2019-04-30,2019-04-02
화성동탄(2) 근린생활시설용지 수의계약 중단 안내,2019-02-25,2019-02-28,2019-02-25
화성동탄(2) 근린상업용지 수의계약 공고(2018.10.22) 수정사항 안내,2019-02-22,2019-02-28,2019-02-25
화성동탄(2) 근린생활시설용지 수의계약 안내,2019-02-25,2019-02-28,2019-02-20
화성동탄(2) 유통업무설비용지 공급공고(유통3),2019-01-28,2019-02-18,2019-01-28
"화성동탄(2) 근린생활시설용지 재공급공고(근생66, 근생67)",2019-01-24,2019-12-31,2019-01-24
고덕국제화계획지구 대토보상(조성)토지 재공급공고,2019-01-09,2019-01-31,2019-01-09
(정정공고)고덕국제화계획지구 대토보상(조성)토지 재공급공고,2019-01-09,2019-01-31,2019-01-09
다산신도시 1단계 준공구역 소유권이전등기 안내,2019-01-07,2019-02-28,2019-01-07
(취소공고)화성동탄(2) 유통업무설비용지(유통3) 공급공고,2019-01-07,2019-03-31,2019-01-07
(정정공고)용인 기흥구갈3 택지개발지구 주차장용지 수의계약 공고,2018-12-07,2018-12-31,2018-12-07
용인 기흥구갈3 택지개발지구 주차장용지 수의계약 공고,2018-12-06,2018-12-31,2018-12-06
화성동탄(2) 유치원용지(유15) 공급공고,2018-11-30,2018-12-31,2018-11-30
화성동탄(2) 근린생활시설용지 공급공고,2018-11-29,2018-12-31,2018-11-29
화성동탄(2) 유통업무설비용지(유통3) 공급공고,2018-11-20,2018-12-31,2018-11-20
용인 기흥구갈3 택지개발지구 주차장용지 재공급 공고,2018-10-26,2018-12-31,2018-10-26
화성동탄(2) 근린상업용지 수의계약 공고,2018-10-22,2018-12-31,2018-10-22
고양관광문화단지 근린생활시설용지 공급공고,2018-10-08,2018-12-31,2018-10-08
화성동탄(2) 근린상업 주차장 용지 재공급 공고,2018-10-08,2018-12-31,2018-10-08
용인 기흥구갈3 택지개발지구 주차장용지 재공급 공고,2018-10-05,2018-12-31,2018-10-05
다산신도시 1단계 면적정산 안내,2018-09-19,2018-12-31,2018-09-19
화성동탄(2) 문화복합·근린상업·주차장 용지공급 공고 관련 수정사항 게시,2018-09-03,2018-12-31,2018-09-03
화성동탄(2) 문화복합·근린상업·주차장 용지공급 공고,2018-08-23,2019-08-23,2018-08-23
다산신도시 1단계 준공관련 면적정산 등 사전안내,2018-08-23,2019-05-23,2018-08-23
남양주 다산신도시 진건지구 점포겸용 단독주택용지 개찰 결과,2018-08-01,2019-08-01,2018-08-01
남양주 다산신도시 진건지구 점포겸용 단독주택용지 공급공고,2018-07-19,2018-12-31,2018-07-19
다산신도시 지금지구 자족용지 추첨결과,2018-06-20,2018-12-31,2018-06-20
